集保專區-玉山證券-定期定額商品-台股
="股票名稱",="日期",="收盤價",="漲跌幅(%)",="殖利率(%)",="波動度(%)",="近一個月報酬(%)",="今年以來報酬(%)",
="(00727B) 國泰1-5Y高收債(現貨E",="2023/10/05",38.68,-0.21,6.36,4.31,-0.08,9.11,
="(00728) 第一金工業30",="2023/10/05",24.70,1.19,8.06,24.07,0.61,17.97,
="(00730) 富邦臺灣優質高息",="2023/10/05",19.35,0.47,5.58,14.25,0.36,14.16,
="(00731) FH富時高息低波",="2023/10/05",66.00,0.92,4.24,11.04,-2.15,25.37,
="(00733) 富邦臺灣中小",="2023/10/05",57.05,1.33,2.14,28.50,-2.14,67.23,
="(00734B) 台新JPM新興債",="2023/10/05",15.09,-0.33,5.50,8.47,-4.01,0.81,
="(00735) 國泰臺韓科技",="2023/10/05",27.95,1.64,4.65,21.63,-3.75,22.77,
="(00736) 國泰新興市場",="2023/10/05",19.66,0.31,2.34,11.99,-4.24,3.00,
="(00737) 國泰AI+Robo",="2023/10/05",28.03,0.32,="--",22.29,-7.37,16.65,
="(00738U) 期元大道瓊白銀",="2023/10/05",20.49,0.74,="--",32.05,-11.26,-14.77,
="(00739) 元大MSCI A股",="2023/10/05",21.11,0,0.90,13.58,-4.35,-7.57,
="(00740B) 富邦全球投等債",="2023/10/05",37.27,1.14,4.99,12.12,-4.12,1.34,
="(00741B) 富邦全球高收債",="2023/10/05",37.19,-0.38,6.43,5.00,-0.77,7.80,
="(00744B) 國泰中國政金債5+(現",="2023/10/05",42.61,-0.09,3.22,6.22,1.28,3.43,
="(00746B) 富邦A級公司債",="2023/10/05",34.33,1.06,3.93,11.86,-4.93,-1.35,
="(00749B) 凱基新興債10+",="2023/10/05",29.76,0.54,5.71,14.38,-6.85,-0.92,
="(00750B) 凱基科技債10+",="2023/10/05",32.90,1.61,4.89,14.03,-4.86,0.12,
="(00751B) 元大AAA至A公司債",="2023/10/05",31.90,1.46,5.30,15.02,-5.70,-2.82,
="(00752) 中信中國50",="2023/10/05",17.47,0.34,="--",27.71,-7.22,-4.59,
="(00754B) 群益AAA-AA公司債",="2023/10/05",33.99,1.10,4.12,15.12,-5.95,-2.92,
="(00755B) 群益15年IG公用債",="2023/10/05",31.75,0.95,4.72,12.99,-4.80,-2.85,
="(00756B) 群益15年EM主權債",="2023/10/05",30.38,0.20,5.69,15.61,-7.04,-2.10,
="(00757) 統一FANG+",="2023/10/05",58.15,1.66,="--",38.67,-3.41,76.48,
="(00758B) FH能源債",="2023/10/05",48.75,0.74,4.43,12.36,-4.32,-0.23,
="(00759B) FH製藥債",="2023/10/05",52.95,1.05,4.21,13.74,-5.36,-1.76,
="(00760B) FH新興企業債",="2023/10/05",50.30,0.78,5.01,10.55,-4.19,-0.39,
="(00761B) 國泰A級公司債(現貨ET",="2023/10/05",34.51,1.29,4.55,14.69,-5.30,-1.67,
="(00762) 元大全球AI",="2023/10/05",45.00,1.12,="--",30.36,-3.70,52.23,
="(00763U) 期街口道瓊銅",="2023/10/05",22.63,-0.31,="--",17.87,-6.22,-7.37,
="(00764B) 群益25年美債",="2023/10/05",28.77,1.73,3.23,15.59,-7.60,-8.17,
="(00768B) FH20年美債",="2023/10/05",50.00,1.67,="--",14.68,-7.41,-7.58,
="(00770) 國泰北美科技",="2023/10/05",35.35,1.14,5.52,23.44,-4.25,44.56,
="(00771) 元大US高息特別股",="2023/10/05",16.06,-0.37,4.42,12.24,-2.19,3.99,
="(00772B) 中信高評級公司債",="2023/10/05",33.04,1.29,4.96,13.56,-5.30,-1.97,
="(00773B) 中信優先金融債",="2023/10/05",33.23,0.76,5.06,14.06,-6.03,-0.74,
="(00775B) 新光投等債15+",="2023/10/05",31.40,0.90,3.63,13.08,-5.59,-2.46,
="(00777B) 凱基AAA至A級公司債",="2023/10/05",32.45,1.12,4.25,14.53,-5.34,-2.17,
="(00778B) 凱基金融債20+",="2023/10/05",32.34,1.00,4.82,16.37,-6.67,-1.49,
="(00779B) 凱基美債25+",="2023/10/05",28.98,1.72,3.11,15.23,-8.08,-8.28,
="(00780B) 國泰A級金融債(現貨ET",="2023/10/05",34.82,0.32,4.65,5.11,-2.76,1.10,
="(00781B) 國泰A級科技債(現貨ET",="2023/10/05",30.51,1.87,4.98,15.56,-5.62,-2.11,
="(00782B) 國泰A級公用債(現貨ET",="2023/10/05",30.23,1.21,5.19,13.06,-5.68,-3.27,
="(00783) 富邦中証500",="2023/10/05",18.99,-0.16,="--",11.01,-2.77,-4.81,
="(00784B) 富邦中國投等債",="2023/10/05",37.35,-0.24,3.05,4.86,0.43,5.81,
="(00785B) 富邦金融投等債",="2023/10/05",32.53,0.68,4.37,13.29,-5.22,0.20,
="(00786B) 元大10年IG銀行債",="2023/10/05",31.06,0.71,5.63,13.22,-5.51,-0.82,
="(00787B) 元大10年IG醫療債",="2023/10/05",32.51,0.93,5.29,13.04,-4.63,-0.28,
="(00788B) 元大10年IG電能債",="2023/10/05",29.89,0.54,5.55,11.37,-4.14,-1.80,
="(00789B) FH公司債A3",="2023/10/05",48.56,1.42,3.83,14.13,-5.53,-2.54,
="(00790B) FH次順位IG金融債",="2023/10/05",49.98,1.07,4.18,10.01,-4.34,0.18,
="(00791B) FH美元信用債1-5Y",="2023/10/05",55.05,0.09,3.91,5.42,1.10,7.20,
="(00792B) 群益A級公司債",="2023/10/05",31.05,1.37,4.64,14.84,-5.50,-1.81,
="(00793B) 群益AAA-A醫療債",="2023/10/05",30.75,1.15,4.94,13.68,-5.52,-2.53,
="(00794B) 群益7+中國政金債",="2023/10/05",39.60,-0.60,6.26,5.35,0.51,3.43,
="(00795B) 中信美國公債20年",="2023/10/05",28.29,1.43,3.75,14.55,-7.37,-7.84,
="(00799B) 國泰A級醫療債",="2023/10/05",30.96,0.78,5.07,12.74,-5.00,-2.41,
="(00830) 國泰費城半導體",="2023/10/05",32.36,1.09,8.65,31.43,-5.24,43.57,
="(00831B) 新光美債1-3",="2023/10/05",39.15,-0.25,1.74,6.77,1.37,6.72,
="(00834B) 第一金金融債10+",="2023/10/05",31.57,0.77,4.24,14.03,-5.70,-0.79,
="(00836B) 永豐10年A公司債",="2023/10/05",28.48,1.06,4.60,15.14,-5.99,-2.76,
="(00840B) 凱基IG精選15+",="2023/10/05",29.53,1.13,3.25,14.41,-5.62,-2.90,
="(00841B) 凱基AAA-AA公司債",="2023/10/05",29.20,1.07,3.73,15.22,-6.26,-3.76,
="(00842B) 台新美元銀行債",="2023/10/05",30.30,0.66,5.38,13.81,-5.16,-0.09,
="(00844B) 新光15年IG金融債",="2023/10/05",29.70,0.85,3.77,14.62,-5.86,-1.24,
="(00845B) 富邦新興投等債",="2023/10/05",30.82,-0.45,4.19,7.64,-2.90,2.37,
="(00846B) 富邦歐洲銀行債",="2023/10/05",32.77,-0.03,3.14,7.38,-3.08,6.48,
="(00847B) 中信美國市政債",="2023/10/05",25.87,1.05,4.33,11.70,-5.06,-1.51,
="(00848B) 中信新興亞洲債",="2023/10/05",32.99,-0.54,4.40,9.11,-3.57,2.79,
="(00849B) 中信EM主權債0-5",="2023/10/05",37.22,-0.32,3.25,6.18,0.92,7.24,
="(00850) 元大臺灣ESG永續",="2023/10/05",33.01,1.41,4.48,20.79,-1.76,19.53,
="(00851) 台新全球AI",="2023/10/05",32.90,1.73,1.00,30.38,-3.66,49.27,
="(00853B) 統一美債10年Aa-A",="2023/10/05",27.11,1.35,3.54,12.97,-5.01,-1.22,
="(00856B) 永豐1-3年美公債",="2023/10/05",38.56,-0.28,2.46,7.30,1.34,6.97,
="(00857B) 永豐20年美公債",="2023/10/05",24.16,1.60,4.01,13.93,-7.14,-7.62,
="(00858) 永豐美國500大",="2023/10/05",26.55,0.76,4.71,10.72,-3.80,15.71,
="(00859B) 群益0-1年美債",="2023/10/05",41.73,-0.36,1.20,8.20,1.64,8.74,
="(00860B) 群益1-5年IG債",="2023/10/05",38.17,-0.16,2.78,5.28,0.98,7.89,
="(00861) 元大全球未來通訊",="2023/10/05",30.62,0.46,="--",18.94,-5.35,19.10,
="(00862B) 中信投資級公司債",="2023/10/05",29.77,1.29,4.43,14.49,-4.90,-0.37,
="(00863B) 中信全球電信債",="2023/10/05",30.21,0.87,4.30,13.92,-4.69,-1.33,
="(00864B) 中信美國公債0-1",="2023/10/05",44.01,-0.38,="--",7.32,1.62,8.53,
="(00865B) 國泰US短期公債",="2023/10/05",43.86,-0.36,="--",8.36,1.60,8.97,
="(00867B) 新光A-BBB電信債",="2023/10/05",29.55,1.27,4.43,15.02,-4.55,-1.01,
="(00875) 國泰網路資安",="2023/10/05",27.57,-0.29,="--",17.69,-5.65,14.16,
="(00876) 元大全球5G",="2023/10/05",29.39,0.89,="--",24.34,-5.16,23.18,
="(00877) FH中國5G",="2023/10/05",10.25,0.39,="--",20.84,-2.01,15.17,
="(00878) 國泰永續高股息",="2023/10/05",20.64,0.98,5.72,12.59,-1.48,33.85,
="(00881) 國泰台灣5G+",="2023/10/05",17.03,1.19,4.99,24.44,-0.76,32.34,
="(00882) 中信中國高股息",="2023/10/05",10.58,0.09,11.44,21.07,-4.86,-6.26,
="(00883B) 中信ESG投資級債",="2023/10/05",29.55,1.16,3.99,13.44,-4.80,-0.82,
="(00884B) 中信低碳新興債",="2023/10/05",28.45,-0.07,4.67,14.68,-7.03,-2.77,
="(00885) 富邦越南",="2023/10/05",12.42,0.40,="--",24.46,-9.67,11.59,
="(00886) 永豐美國科技",="2023/10/05",24.15,1.43,="--",21.37,-4.85,40.65,
="(00887) 永豐中國科技50大",="2023/10/05",12.44,0.08,="--",15.48,-4.38,-10.31,
="(00888) 永豐台灣ESG",="2023/10/05",13.47,1.28,3.34,20.90,-2.39,15.12,
="(00891) 中信關鍵半導體",="2023/10/05",13.98,1.53,4.65,31.37,2.12,33.32,
="(00892) 富邦台灣半導體",="2023/10/05",12.36,1.90,4.61,31.37,0.16,28.14,
="(00893) 國泰智能電動車",="2023/10/05",17.15,2.21,="--",35.64,-4.99,59.68,
="(00894) 中信小資高價30",="2023/10/05",14.34,1.63,4.46,27.75,1.92,30.17,
="(00895) 富邦未來車",="2023/10/05",19.01,1.88,="--",36.73,-3.55,65.30,
="(00896) 中信綠能及電動車",="2023/10/05",15.49,1.18,2.65,17.79,-2.27,25.31,
="(00898) 國泰基因免疫革命",="2023/10/05",6.91,0.14,="--",18.54,-9.44,-3.76,
="(00899) 富蘭克林潔淨能源",="2023/10/05",17.29,0.29,="--",18.44,-12.98,-22.33,
="(00900) 富邦特選高股息",="2023/10/05",12.71,0.87,10.62,16.76,0.39,29.86,
="(00901) 永豐智能車供應鏈",="2023/10/05",14.65,1.38,3.69,24.68,-1.08,28.51,
="(00902) 中信電池及儲能",="2023/10/05",10.32,0.98,="--",24.71,-13.28,-15.55,
="(00904) 新光臺灣半導體30",="2023/10/05",13.06,1.79,1.61,32.33,0.62,30.66,
="(00905) FT臺灣Smart",="2023/10/05",9.87,1.02,="--",21.20,-0.30,24.25,
="(00907) 永豐優息存股",="2023/10/05",14.06,1.08,1.99,11.90,-0.78,2.41,
="(00908) 富邦入息REITs+",="2023/10/05",11.47,0.17,2.01,16.63,-6.21,-10.58,
="(00909) 國泰數位支付服務",="2023/10/05",16.75,1.27,="--",30.60,-9.61,16.51,
="(00910) 第一金太空衛星",="2023/10/05",15.19,0.07,="--",16.25,-8.05,3.90,
="(00912) 中信臺灣智慧50",="2023/10/05",14.72,1.17,1.36,23.27,-1.14,14.09,
="(00913) 兆豐台灣晶圓製造",="2023/10/05",15.87,1.73,="--",32.68,-1.43,20.10,
="(00915) 凱基優選高股息30",="2023/10/05",20.90,0.48,="--",13.59,3.05,46.70,
="(00916) 國泰全球品牌50",="2023/10/05",17.94,0.96,="--",16.46,-3.86,29.01,
="(00917) 中信特選金融",="2023/10/05",15.29,0.39,="--",13.55,-4.14,3.17,
="(00919) 群益台灣精選高息",="2023/10/05",20.87,0.72,="--",="--",0.98,34.28,
="(00920) 富邦ESG綠色電力",="2023/10/05",13.41,0.45,="--",="--",-12.64,-17.43,
="(00921) 兆豐龍頭等權重",="2023/10/05",17.53,1.62,="--",="--",0.64,="--",
="(00922) 國泰台灣領袖50",="2023/10/05",16.09,1.32,="--",="--",-1.17,="--",
="(00923) 群益台灣ESG低碳",="2023/10/05",15.56,1.24,="--",="--",-1.58,="--",
="(00924) 復華美國標普500成長",="2023/10/05",16.82,0.78,="--",="--",-3.83,="--",
="(00927) 群益半導體收益ETF",="2023/10/05",15.49,1.37,="--",="--",1.24,="--",
="(00928) 中信上櫃ESG30",="2023/10/05",15.32,1.52,="--",="--",0.99,="--",
="(00929) 復華台灣科技優息",="2023/10/05",17.46,0.69,="--",="--",1.54,="--",
="(00930) 永豐ESG低碳高息",="2023/10/05",16.02,0.88,="--",="--",1.59,="--",
="(00931B) 統一美債20年",="2023/10/05",13.79,1.47,="--",="--",-7.39,="--",
="(00932) 兆豐永續高息等權",="2023/10/05",15.16,0.33,="--",="--",-0.98,="--",
="(1101) 台泥",="2023/10/05",32.75,-0.46,1.53,1.27,-6.43,-1.34,
="(1102) 亞泥",="2023/10/05",39.35,0.64,5.84,0.92,-2.48,1.17,
="(1210) 大成",="2023/10/05",52.60,0.96,2.85,1.33,-5.05,18.87,
="(1216) 統一",="2023/10/05",68.60,1.33,4.59,0.81,-3.38,7.44,
="(1227) 佳格",="2023/10/05",37.10,0,3.48,0.81,-2.37,-3.86,
="(1229) 聯華",="2023/10/05",61.80,0.65,3.24,1.13,0.32,34.51,
="(1301) 台塑",="2023/10/05",78.70,0.38,5.34,0.86,-4.02,-4.99,
="(1303) 南亞",="2023/10/05",64.70,0.78,4.64,1.02,-4.71,-5.13,
="(1326) 台化",="2023/10/05",60.90,1.16,1.56,1.00,-4.55,-12.40,
="(1402) 遠東新",="2023/10/05",28.40,0.18,4.75,1.07,-1.56,-7.09,
="(1434) 福懋",="2023/10/05",25.40,0.79,5.91,0.57,-1.55,0.39,
="(1440) 南紡",="2023/10/05",14.60,0.34,2.40,1.05,-4.58,-11.15,
="(1476) 儒鴻",="2023/10/05",500.00,2.67,3.40,1.86,-4.58,4.55,
="(1477) 聚陽",="2023/10/05",343.00,1.18,4.23,2.07,0.15,56.87,
="(1504) 東元",="2023/10/05",50.60,2.02,2.96,2.27,3.90,88.97,
="(1590) 亞德客-KY",="2023/10/05",987.00,-1.30,1.33,2.28,5.19,7.45,
="(1605) 華新",="2023/10/05",36.05,2.71,4.99,2.38,-4.12,-20.58,
="(1717) 長興",="2023/10/05",28.25,1.44,4.25,1.24,-3.58,-6.13,
="(1722) 台肥",="2023/10/05",59.50,1.36,4.20,0.86,-1.98,15.83,
="(1802) 台玻",="2023/10/05",19.15,1.59,0,2.37,-9.24,-9.88,
="(1904) 正隆",="2023/10/05",28.45,0.18,3.87,1.45,-0.18,7.42,
="(1907) 永豐餘",="2023/10/05",31.85,-0.16,2.83,2.29,1.11,33.58,
="(2002) 中鋼",="2023/10/05",24.55,1.24,4.07,1.10,-9.41,-14.71,
="(2006) 東和鋼鐵",="2023/10/05",59.70,-0.67,5.86,1.34,-2.61,20.23,
="(2014) 中鴻",="2023/10/05",21.90,1.62,1.60,2.13,-7.40,-16.95,
="(2023) 燁輝",="2023/10/05",15.25,0.33,1.97,1.32,-0.33,-2.75,
="(2027) 大成鋼",="2023/10/05",36.65,0.55,12.01,1.42,-1.61,8.97,
="(2049) 上銀",="2023/10/05",201.50,0.75,2.73,1.97,-1.95,13.12,
="(2105) 正新",="2023/10/05",42.85,2.76,3.27,1.30,7.13,31.11,
="(2108) 南帝",="2023/10/05",36.05,0.14,5.55,1.59,-2.04,2.19,
="(2201) 裕隆",="2023/10/05",78.40,0,1.19,2.63,-7.98,28.05,
="(2207) 和泰車",="2023/10/05",635.00,2.25,0.35,1.82,-9.03,10.45,
="(2227) 裕日車",="2023/10/05",185.50,0.27,3.89,1.35,-1.33,1.99,
="(2301) 光寶科",="2023/10/05",121.50,0.41,3.70,2.47,-9.33,101.28,
="(2303) 聯電",="2023/10/05",45.15,2.38,7.97,1.68,-3.01,18.97,
="(2308) 台達電",="2023/10/05",338.00,1.50,2.91,1.59,-3.01,21.39,
="(2313) 華通",="2023/10/05",52.60,0.96,5.13,1.83,14.10,25.51,
="(2317) 鴻海",="2023/10/05",103.50,0.49,5.12,1.09,-3.27,8.61,
="(2324) 仁寶",="2023/10/05",30.85,1.15,3.89,1.82,-3.59,40.41,
="(2327) 國巨",="2023/10/05",530.00,1.73,1.88,2.03,4.33,19.93,
="(2330) 台積電",="2023/10/05",528.00,1.54,2.08,1.86,-3.81,19.58,
="(2337) 旺宏",="2023/10/05",32.35,2.21,5.56,1.71,-4.43,1.06,
="(2344) 華邦電",="2023/10/05",26.75,4.90,3.74,2.17,2.01,41.56,
="(2345) 智邦",="2023/10/05",516.00,5.20,1.45,2.85,9.32,124.31,
="(2347) 聯強",="2023/10/05",63.80,1.11,5.49,0.98,4.08,14.07,
="(2352) 佳世達",="2023/10/05",44.20,0.11,4.52,1.97,-3.70,62.46,
="(2353) 宏碁",="2023/10/05",37.40,2.89,4.01,2.00,-2.35,66.24,
="(2354) 鴻準",="2023/10/05",58.20,1.93,2.75,1.51,3.37,15.44,
="(2356) 英業達",="2023/10/05",50.80,1.40,2.95,2.92,-9.12,99.87,
="(2357) 華碩",="2023/10/05",380.00,2.56,3.95,2.04,-3.55,48.66,
="(2360) 致茂",="2023/10/05",269.50,1.51,2.97,2.47,-2.53,53.55,
="(2371) 大同",="2023/10/05",44.45,3.01,0,2.10,-7.01,28.84,
="(2376) 技嘉",="2023/10/05",288.00,0.17,2.15,3.26,-7.40,176.19,
="(2377) 微星",="2023/10/05",166.50,1.22,3.96,1.85,0.91,44.91,
="(2379) 瑞昱",="2023/10/05",410.00,1.86,6.59,2.14,-2.79,55.32,
="(2382) 廣達",="2023/10/05",249.50,-0.40,2.40,2.96,1.84,269.95,
="(2383) 台光電",="2023/10/05",445.00,0.91,1.89,2.94,-2.20,165.28,
="(2385) 群光",="2023/10/05",116.00,-0.43,6.47,1.12,8.41,44.75,
="(2395) 研華",="2023/10/05",346.00,0.73,3.18,1.80,0,17.71,
="(2408) 南亞科",="2023/10/05",69.50,2.66,3.06,2.08,2.06,39.95,
="(2409) 友達",="2023/10/05",15.95,0.95,5.02,1.96,-9.12,10.67,
="(2412) 中華電",="2023/10/05",115.00,0,4.09,0.73,-1.71,5.87,
="(2441) 超豐",="2023/10/05",55.60,-0.18,6.65,1.47,-4.30,23.51,
="(2449) 京元電子",="2023/10/05",78.50,2.35,4.46,2.12,0.38,129.78,
="(2454) 聯發科",="2023/10/05",786.00,0.77,9.67,2.07,9.47,39.24,
="(2458) 義隆",="2023/10/05",141.50,2.54,4.34,2.14,5.60,73.97,
="(2474) 可成",="2023/10/05",184.00,0.82,5.43,1.13,2.22,14.92,
="(2492) 華新科",="2023/10/05",100.00,0.70,2.40,2.35,-6.98,29.84,
="(2498) 宏達電",="2023/10/05",50.30,6.01,0,2.23,-5.09,-9.69,
="(2542) 興富發",="2023/10/05",39.10,0,3.84,0.92,0.15,7.98,
="(2603) 長榮",="2023/10/05",112.00,1.82,62.50,2.25,3.23,25.30,
="(2606) 裕民",="2023/10/05",45.45,0.11,6.60,2.36,-2.15,-0.48,
="(2609) 陽明",="2023/10/05",44.90,0.79,44.54,2.00,3.70,-3.64,
="(2610) 華航",="2023/10/05",21.70,5.60,2.12,2.15,-5.86,16.25,
="(2615) 萬海",="2023/10/05",46.75,0.86,10.70,2.38,-1.16,-36.23,
="(2618) 長榮航",="2023/10/05",29.75,5.12,2.69,2.12,-6.45,7.85,
="(2633) 台灣高鐵",="2023/10/05",29.85,0,2.24,0.85,0.34,6.10,
="(2637) 慧洋-KY",="2023/10/05",47.30,-1.25,13.74,2.16,2.05,-13.66,
="(2801) 彰銀",="2023/10/05",17.10,0.29,4.68,0.67,-1.72,5.29,
="(2809) 京城銀",="2023/10/05",37.25,-0.13,2.95,1.14,0.95,13.32,
="(2812) 台中銀",="2023/10/05",14.70,0,4.90,0.66,-1.34,21.99,
="(2834) 臺企銀",="2023/10/05",13.05,0.38,2.61,1.11,-2.97,3.94,
="(2845) 遠東銀",="2023/10/05",11.55,1.32,3.55,0.83,0,8.77,
="(2880) 華南金",="2023/10/05",20.30,0.50,2.91,0.93,-1.69,-7.04,
="(2881) 富邦金",="2023/10/05",60.50,1.34,3.31,1.10,-2.10,15.51,
="(2882) 國泰金",="2023/10/05",44.05,1.15,2.04,1.22,-5.17,12.42,
="(2883) 開發金",="2023/10/05",11.55,0,0,1.12,-3.75,-8.33,
="(2884) 玉山金",="2023/10/05",24.00,0.84,2.38,0.99,-2.04,4.30,
="(2885) 元大金",="2023/10/05",24.55,1.24,3.87,0.92,1.45,18.77,
="(2886) 兆豐金",="2023/10/05",37.50,1.76,3.52,1.05,4.17,28.54,
="(2887) 台新金",="2023/10/05",17.65,0.28,5.27,1.06,-1.67,25.10,
="(2888) 新光金",="2023/10/05",9.00,0.67,0,1.11,-6.25,2.62,
="(2889) 國票金",="2023/10/05",11.65,0,0,1.19,-1.27,3.10,
="(2890) 永豐金",="2023/10/05",17.35,1.17,4.61,1.04,0,9.16,
="(2891) 中信金",="2023/10/05",24.10,1.69,4.15,1.12,0.42,13.39,
="(2892) 第一金",="2023/10/05",26.20,0.77,4.20,0.79,-1.50,4.70,
="(2912) 統一超",="2023/10/05",262.50,0.57,3.43,0.85,-2.42,-0.29,
="(2915) 潤泰全",="2023/10/05",58.70,0.86,3.41,1.64,-5.17,-6.67,
="(3008) 大立光",="2023/10/05",2120.00,1.92,4.03,2.02,-2.08,7.42,
="(3023) 信邦",="2023/10/05",327.50,0.46,2.58,1.71,2.50,22.35,
="(3034) 聯詠",="2023/10/05",440.50,2.09,8.40,1.95,4.38,52.75,
